key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
"PETLUK J, 2021, ",Point cloud capture and segmentation of animal images using classification and clustering,Petluk J;Osborn W,"PROCEEDINGS OF THE 1ST ACM SIGSPATIAL INTERNATIONAL WORKSHOP ON ON ANIMAL MOVEMENT ECOLOGY AND HUMAN MOBILITY, HANIMOB 2021",NA,NA,NA,NA,2021,"ASSOCIATION FOR COMPUTING MACHINERY, INC",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119377660&doi=10.1145%2f3486637.3489485&partnerID=40&md5=ecf7fd36948aca3fc7f85136b5b29d66,"Measuring characteristics of animals in the wild is not always possible, due to their demeanour and lack of human contact. Remote capture and processing methods, including the segmentation of animal data into relevant body parts, are required. Existing solutions are either costly or too cumbersome to use in the wild. This study explores the use of rgb depth (rgb-d) cameras for data capture of a target animal from a distance. In addition, this study explores the extraction and segmentation of the resulting animal data into point clouds, and the creation of machine learning models for the automated segmentation of this data. Results of this study, including an experimental evaluation, demonstrate the feasibility of utilizing rgb-d cameras for animal data capture, and that classification outperformed clustering for automated animal data segmentation. © 2021 acm.",ENGLISH,10.1145/3486637.3489485,cameras;  image classification;  image segmentation; animal data;  animal images;  body parts;  classification and clustering;  clusterings;  depth camera;  machine learning models;  point-clouds;  processing method;  segmentation; animals
"NIKIRUY KE, 2021, ",Temporal coding of binary patterns for learning of spiking neuromorphic systems based on nanocomposite memristors,Nikiruy Ke;Emelyanov Av;Sitnikov Av;Rylkov Vv;Demin Va,"NANOBIOTECHNOLOGY REPORTS",26351676,16,6,732-736,2021,PLEIADES JOURNALS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123761259&doi=10.1134%2fS2635167621060161&partnerID=40&md5=dc361c836304f5d9bbe785349f599f33,"The metal/nanocomposite/metal (m/nc/m) memristive structures based on (co40fe40b20)x(linbo3)100–x have been studied. It has been shown that such memristors may change their conductance according to the bioinspired spike-timing-dependent plasticity (stdp) rules. Spiking neural network with 4 presynaptic inputs connected by memristor-synapses with a postsynaptic threshold neuron-integrator has been created, in which the images clustering with temporal coding has been implemented using the stdp rule. Thus, the fundamental possibility of using a temporal coding method, which is more effective than population-frequency coding, has been demonstrated for self-learning of spiking neuromorphic systems with synaptic weights based on nanocomposite memristors. © 2021, pleiades publishing, ltd.",ENGLISH,10.1134/S2635167621060161,image coding;  iron compounds;  learning systems;  nanocomposites;  neural networks;  neurons;  niobium compounds; binary patterns;  memristor;  metal nanocomposites;  neural-networks;  neuromorphic systems;  presynaptic inputs;  spike timing dependent plasticities;  structure-based;  temporal coding;  threshold neuron; memristors
"SEE YC, 2021, ",Gabor and maximum response filters with random forest classifier for face recognition in the wild,See Yc;Liew E;Noor Nm,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,16833198,18,6,797-806,2021,ZARKA PRIVATE UNIVERSITY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120790357&doi=10.34028%2fiajit%2f18%2f6%2f7&partnerID=40&md5=deed7ec97c39b5edd3dea05a53d0ac2e,"Research on face recognition has been evolving for decades. There are numerous approaches developed with highly desirable outcomes in constrained environments. In contrast, approaches to face recognition in an unconstrained environment where varied facial posing, occlusion, aging, and image quality still pose vast challenges. Thus, face recognition in the unconstrained environment still an unresolved problem. Many current techniques are not performed well when experimented in unconstrained databases. Additionally, most of the real-world application needs a good face recognition performance in the unconstrained environment. This paper presents a comprehensive process aimed to enhance the performance of face recognition in an unconstrained environment. This paper presents a face recognition system in an unconstrained environment. The fusion between gabor filters and maximum response (mr) filters with random forest classifier is implemented in the proposed system. Gabor filters are a hybrid of gabor magnitude filters and oriented gabor phase congruency (ogpc) filters. Gabor magnitude filters produce the magnitude response while the ogpc filters produce the phase response of gabor filters. The mr filters contain the edge-and bar-anisotropic filter responses and isotropic filter responses. In the face features selection process, monte carlo uninformative variable elimination partial least squares regression (mc-uve-plsr) is used to select the optimal face features in order to minimize the computational costs without compromising the accuracy of face recognition. Random forests is used in the classification of the generated feature vectors. The algorithm performance is evaluated using two unconstrained facial image databases: labelled faces in the wild (lfw) and unconstrained facial images (ufi). The proposed technique used produces encouraging results in these evaluated databases in which it recorded face recognition rates that are comparable with other state-of-the-art algorithms. © 2021, zarka private university. All rights reserved.",ENGLISH,10.34028/iajit/18/6/7,NA
"KIM YH, 2021, ",Analysis of the mandibular canal course using unsupervised machine learning algorithm,Kim Yh;Jeon Kj;Lee C;Choi Yj;Jung Hi;Han Ss,PLOS ONE,19326203,16,11,NA,2021,PUBLIC LIBRARY OF SCIENCE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119986609&doi=10.1371%2fjournal.pone.0260194&partnerID=40&md5=e90b62b566d97abaddea117e75b2bf15,"Objectives anatomical structure classification is necessary task in medical field, but the inevitable variability of interpretation among experts makes reliable classification difficult. This study aims to introduce cluster analysis, unsupervised machine learning method, for classification of three-dimensional (3d) mandibular canal (mc) courses, and to visualize standard mc courses derived from cluster analysis in the korean population. Materials and methods a total of 429 cone-beam computed tomography images were used. Four sites in the mandible were selected for the measurement of the mc course and four parameters, two vertical and two horizontal parameters were measured per site. Cluster analysis was carried out as follows: parameter measurement, parameter normalization, cluster tendency evaluation, optimal number of clusters determination, and k-means cluster analysis. The 3d mc courses were classified into three types with statistically significant mean differences by cluster analysis. Results cluster 1 showed a smooth line running towards the lingual side in the axial view and a steep slope in the sagittal view. Cluster 2 ran in an almost straight line closest to the lingual and inferior border of mandible. Cluster 3 showed the pathway with a bent buccally in the axial view and an increasing slope in the sagittal view in the posterior area. Cluster 2 showed the highest distribution (42.1%), and males were more widely distributed (57.1%) than the females (42.9%). Cluster 3 comprised similar ratio of male and female cases and accounted for 31.9% of the total distribution. Cluster 1 had the least distribution (26.0%) distributions of the right and left sides did not show a statistically significant difference. Conclusion the mc courses were automatically classified as three types through cluster analysis. Cluster analysis enables the unbiased classification of the anatomical structures by reducing observer variability and can present representative standard information for each classified group. Copyright: © 2021 kim et al. This is an open access article distributed under the terms of the creative commons attribution license, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",ENGLISH,10.1371/journal.pone.0260194,adult;  article;  cluster analysis;  cone beam computed tomography;  controlled study;  female;  human;  korean (people);  male;  mandible;  running;  unsupervised machine learning;  algorithm;  anatomy and histology;  asian;  procedures;  unsupervised machine learning; algorithms;  asians;  cluster analysis;  cone-beam computed tomography;  female;  humans;  male;  mandibular canal;  unsupervised machine learning
"JIANG Z, 2021, ",Nondestructive testing of mechanical properties of bamboo–wood composite container floor by image processing,Jiang Z;Liang Y;Su Z;Chen A;Sun J,FORESTS,19994907,12,11,NA,2021,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119981742&doi=10.3390%2ff12111535&partnerID=40&md5=6945da554f189289aa8b4d16e4a13388,"The bamboo–wood composite container floor (bwccf) has been wildly utilized in transportation in recent years. However, most of the common approaches of mechanics detection are conducted in a time-consuming and resource wasting way. Therefore, this paper aims to provide a frugal and highly efficient method to predict the short-span shear stress, the modulus of rupture (mor) and the modulus of elasticity (moe) of the bwccf. Artificial neural network (ann) models were developed and support vector machine (svm) models were constructed for comparative study by taking the characteristic parameters of image processing as input and the mechanical properties as output. The results show that the svm models can output better values than the ann models. In a prediction of the three mechanical properties by svms, the correlation coefficients (r) were determined as 0.899, 0.926, and 0.949, and the mean absolute percentage errors (mape) were obtained, 6.983%, 5.873%, and 4.474%, respectively. The performance measures show the strong generalization of the svm models. The discoveries in this work provide new perspectives on the study of mechanical properties of the bwccf combining machine learning and image processing. © 2021 by the authors. Licensee mdpi, basel, switzerland.",ENGLISH,10.3390/f12111535,bamboo;  composite materials;  containers;  floors;  image processing;  neural networks;  nondestructive examination;  shear stress; artificial neural network modeling;  bamboo-wood composites;  bamboo–wood composite container floor;  characteristics parameters;  comparatives studies;  correlation coefficient;  images processing;  modulus of rupture;  support vector machine models;  support vectors machine; support vector machines; artificial neural network;  bamboo;  composite;  correlation;  elastic modulus;  error analysis;  floor;  image processing;  machine learning;  mechanical property;  nondestructive testing;  performance assessment;  shear stress;  support vector machine;  wood; bamboo;  composites;  containers;  floors;  neural networks;  shear stress
"BYEON YH, 2021, ",Explaining the unique behavioral characteristics of elderly and adults based on deep learning,Byeon Yh;Kim D;Lee J;Kwak Kc,APPLIED SCIENCES (SWITZERLAND),20763417,11,22,NA,2021,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119931098&doi=10.3390%2fapp112210979&partnerID=40&md5=7ae210a20607fd9c54806c057220e157,"In modern society, the population has been aging as the lifespan has increased owing to the advancement in medical technologies. This could pose a threat to the economic system and, in serious cases, to the ethics regarding the socially-weak elderly. An analysis of the behavioral characteristics of the elderly and young adults based on their physical conditions enables silver robots to provide customized services for the elderly to counter aging society problems, laying the groundwork for improving elderly welfare systems and automating elderly care systems. Accordingly, skeleton sequences modeling the changes of the human body are converted into pose evolution images (peis), and a convolutional neural network (cnn) is trained to classify the elderly and young adults for a single behavior. Then, a heatmap, which is a contributed portion of the inputs, is obtained using a gradient-weighted class activation map (grad-cam) for the classified results, and a skeletonheatmap is obtained through a series of processes for the ease of analysis. Finally, the behavioral characteristics are derived through the difference matching analysis between the domains based on the skeleton-heatmap and rgb video matching analysis. In this study, we present the analysis of the behavioral characteristics of the elderly and young adults based on cognitive science using deep learning and discuss the examples of the analysis. Therefore, we have used the etri-activity3d dataset, which is the largest of its kind among the datasets that have classified the behaviors of young adults and the elderly. Copyright: © 2021 by the authors. Licensee mdpi, basel, switzerland.",ENGLISH,10.3390/app112210979,NA
"EIDE A, 2021, ",Uav-assisted thermal infrared and multispectral imaging of weed canopies for glyphosate resistance detection,Eide A;Koparan C;Zhang Y;Ostlie M;Howatt K;Sun X,REMOTE SENSING,20724292,13,22,NA,2021,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119898867&doi=10.3390%2frs13224606&partnerID=40&md5=6de6f5c4d7e047a6dcd1b7eef77381f2,"The foundation of contemporary weed management practices in many parts of the world is glyphosate. However, dependency on the effectiveness of herbicide practices has led to overuse through continuous growth of crops resistant to a single mode of action. In order to provide a cost-effective weed management strategy that does not promote glyphosate-resistant weed biotypes, differences between resistant and susceptible biotypes have to be identified accurately in the field conditions. Unmanned aerial vehicle (uav)-assisted thermal and multispectral remote sensing has potential for detecting biophysical characteristics of weed biotypes during the growing season, which includes distinguishing glyphosate-susceptible and glyphosate-resistant weed populations based on canopy temperature and deep learning driven weed identification algorithms. The objective of this study was to identify herbicide resistance after glyphosate application in true field conditions by analyzing the uav-acquired thermal and multispectral response of kochia, waterhemp, redroot pigweed, and common ragweed. The data were processed in arcgis for raster classification as well as spectral comparison of glyphosate-resistant and glyphosate-susceptible weeds. The classification accuracy between the sensors and classification methods of maximum likelihood, random trees, and support vector machine (svm) were compared. The random trees classifier performed the best at 4 days after application (daa) for kochia with 62.9% accuracy. The maximum likelihood classifier provided the highest performing result out of all classification methods with an accuracy of 75.2%. A commendable classification was made at 8 daa where the random trees classifier attained an accuracy of 87.2%. However, thermal reflectance measurements as a predictor for glyphosate resistance within weed populations in field condition was unreliable due to its susceptibility to environmental conditions. Normalized difference vegetation index (ndvi) and a composite reflectance of 842 nm, 705 nm, and 740 nm wavelength managed to provide better classification results than thermal in most cases. © 2021 by the authors. Licensee mdpi, basel, switzerland.",ENGLISH,10.3390/rs13224606,aircraft detection;  antennas;  cost effectiveness;  deep learning;  herbicides;  maximum likelihood;  reflection;  remote sensing;  support vector machines;  weed control; classification methods;  field conditions;  glyphosate-resistant;  glyphosates;  multispectral images;  random tree;  thermal;  thermal images;  weed identification;  weed management; unmanned aerial vehicles (uav)
"OSBORN R, 2021, ","Flocarazi: an in-situ, image-based profiling instrument for sizing solid and flocculated suspended sediment",Osborn R;Dillon B;Tran D;Abolfazli E;Dunne Kbj;Nittrouer Ja;Strom K,JOURNAL OF GEOPHYSICAL RESEARCH: EARTH SURFACE,21699003,126,11,NA,2021,JOHN WILEY AND SONS INC,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119832978&doi=10.1029%2f2021JF006210&partnerID=40&md5=14266a0ca54c198aae844a72a2da8586,"An inexpensive and compact underwater digital camera imaging system was developed to collect in situ high resolution images of flocculated suspended sediment at depths of up to 60 meters. The camera has a field of view of 3.7 × 2.8 mm and can resolve particles down to 5 (formula presented.). Depending on the degree of flocculation, the system is capable of accurately sizing particles to concentrations up to 500 mg/l. The system is fast enough to allow for profiling whereby size distributions of suspended particles and flocs can be provided at multiple verticals within the water column over a relatively short amount of time (approximately 15 min for a profile of 15 m). Using output from image processing routines, methods are introduced to estimate the mass suspended sediment concentration (ssc) from the images and to separate identified particles into sand and mud floc populations. The combination of these two methods allows for the size and concentration estimates of each fraction independently. The camera and image analysis methods are used in both the laboratory and the mississippi river for development and testing. Output from both settings are presented in this study. © 2021. American geophysical union. All rights reserved.",ENGLISH,10.1029/2021JF006210,concentration (composition);  flocculation;  image analysis;  image resolution;  machine learning;  particle size;  sediment transport;  size distribution;  suspended sediment; mississippi river;  united states
"LIU Y, 2021, ",An optimized pulse coupled neural network image de-noising method for a field-programmable gate array based polarization camera,Liu Y;Hong Y;Lu Z;Zhang H;Xiong J;Zhao D;Shen C;Yu H,REVIEW OF SCIENTIFIC INSTRUMENTS,00346748,92,11,NA,2021,AMERICAN INSTITUTE OF PHYSICS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119370592&doi=10.1063%2f5.0056983&partnerID=40&md5=ce0e6b503e3e9f1a1079b3baac6c9251,"The quality of polarization images is easy to be affected by the noise in the image acquired by a polarization camera. Consequently, a de-noising method optimized with a pulse coupled neural network (pcnn) for polarization images is proposed for a field-programmable gate array (fpga)-based polarization camera in this paper, in which the polarization image de-noising is implemented using an adaptive pcnn improved by gray wolf optimization (gwo) and bi-dimensional empirical mode decomposition (bemd). Unlike other artificial neural networks, pcnn does not need to be trained, but the parameters of pcnn such as the exponential decay time constant, the synaptic junction strength factor, and the inherent voltage constant play a critical influence on its de-noising performance. Gwo is able to start optimization by generating a set of random solutions as the first population and saves the optimized solutions of pcnn. In addition, bemd can decompose a complicated image into different bi-dimensional intrinsic mode functions with local stabilized characteristics according to the input source image, and the decomposition result is able to lower the complexity of heavy noise image analysis. Moreover, the circuit in the polarization camera is accomplished by fpga so as to obtain the polarization image with higher quality synchronously. These two schemes are combined to attenuate different types of noises and improve the quality of the polarization image significantly. Compared with the state-of-the-art image de-noising algorithms, the noise in the polarization image is suppressed effectively by the proposed optimized image de-noising method according to the indices of peak signal-to-noise ratio, standard deviation, mutual information, structural similarity, and root mean square error. © 2021 author(s).",ENGLISH,10.1063/5.0056983,cameras;  image denoising;  image enhancement;  logic gates;  mean square error;  neural networks;  polarization;  signal receivers;  signal to noise ratio; decay time-constants;  denoising methods;  empirical mode decomposition;  exponential decays;  gray wolves;  image de-noising;  optimisations;  polarization images;  pulse coupled neural network;  synaptic junction; field programmable gate arrays (fpga); algorithm;  image processing;  signal noise ratio;  signal processing; algorithms;  image processing; computer-assisted;  neural networks; computer;  signal processing; computer-assisted;  signal-to-noise ratio
"BAIN M, 2021, ",Automated audiovisual behavior recognition in wild primates,Bain M;Nagrani A;Schofield D;Berdugo S;Bessa J;Owen J;Hockings Kj;Matsuzawa T;Hayashi M;Biro D;Carvalho S;Zisserman A,SCIENCE ADVANCES,23752548,7,46,NA,2021,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119272978&doi=10.1126%2fsciadv.abi4883&partnerID=40&md5=6c1c51f25bb2a03fb1d77369466179be,"Large video datasets of wild animal behavior are crucial to produce longitudinal research and accelerate conservation efforts; however, large-scale behavior analyses continue to be severely constrained by time and resources. We present a deep convolutional neural network approach and fully automated pipeline to detect and track two audiovisually distinctive actions in wild chimpanzees: buttress drumming and nut cracking. Using camera trap and direct video recordings, we train action recognition models using audio and visual signatures of both behaviors, attaining high average precision (buttress drumming: 0.87 and nut cracking: 0.85), and demonstrate the potential for behavioral analysis using the automatically parsed video. Our approach produces the first automated audiovisual action recognition of wild primate behavior, setting a milestone for exploiting large datasets in ethology and conservation. Copyright © 2021 the authors.",ENGLISH,10.1126/sciadv.abi4883,automation;  behavioral research;  convolutional neural networks;  deep neural networks;  large dataset;  video recording; action recognition;  animal behaviour;  behavior analysis;  behaviour recognition;  fully automated;  large-scales;  longitudinal research;  recognition models;  video dataset;  wild animals; mammals; article;  nonhuman;  primate
"JANG W, 2021, ",Multi-class parrot image classification including subspecies with similar appearance,Jang W;Lee Ec,BIOLOGY,20797737,10,11,NA,2021,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118989494&doi=10.3390%2fbiology10111140&partnerID=40&md5=f31a0db8a9f1ca53426d85fd2a04fd35,"Owing to climate change and human indiscriminate development, the population of endangered species has been decreasing. To protect endangered species, many countries worldwide have adopted the cites treaty to prevent the extinction of endangered plants and animals. Moreover, research has been conducted using diverse approaches, particularly deep learning-based animal and plant image recognition methods. In this paper, we propose an automated image classification method for 11 endangered parrot species included in cites. The 11 species include subspecies that are very similar in appearance. Data images were collected from the internet and built in cooperation with seoul grand park zoo to build an indigenous database. The dataset for deep learning training consisted of 70% training set, 15% validation set, and 15% test set. In addition, a data augmentation technique was applied to reduce the data collection limit and prevent overfitting. The performance of various backbone cnn architectures (i.e., vggnet, resnet, and densenet) were compared using the ssd model. The experiment derived the test set image performance for the training model, and the results show that the densenet18 had the best performance with an map of approximately 96.6% and an inference time of 0.38 s. © 2021 by the authors. Licensee mdpi, basel, switzerland.",ENGLISH,10.3390/biology10111140,NA
"KUANG B, 2021, ",Sky and ground segmentation in the navigation visions of the planetary rovers,Kuang B;Rana Za;Zhao Y,SENSORS,14248220,21,21,NA,2021,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117287424&doi=10.3390%2fs21216996&partnerID=40&md5=eb9924f70f03403c0557705d8f953a77,"Sky and ground are two essential semantic components in computer vision, robotics, and remote sensing. The sky and ground segmentation has become increasingly popular. This research proposes a sky and ground segmentation framework for the rover navigation visions by adopting weak supervision and transfer learning technologies. A new sky and ground segmentation neural network (network in u-shaped network (ni-u-net)) and a conservative annotation method have been proposed. The pre-trained process achieves the best results on a popular open benchmark (the skyfinder dataset) by evaluating seven metrics compared to the state-of-the-art. These seven metrics achieve 99.232%, 99.211%, 99.221%, 99.104%, 0.0077, 0.0427, and 98.223% on accuracy, precision, re-call, dice score (f1), misclassification rate (mcr), root mean squared error (rmse), and intersection over union (iou), respectively. The conservative annotation method achieves superior performance with limited manual intervention. The ni-u-net can operate with 40 frames per second (fps) to maintain the real-time property. The proposed framework successfully fills the gap between the laboratory results (with rich idea data) and the practical application (in the wild). The achievement can provide essential semantic information (sky and ground) for the rover navigation vision. © 2021 by the author. Licensee mdpi, basel, switzerland.",ENGLISH,10.3390/s21216996,computer vision;  learning systems;  mean square error;  navigation;  remote sensing;  robots;  semantics; annotation methods;  conservative annotation method;  planetary rovers;  semantic components;  semantic segmentation;  transfer learning;  u-shaped;  visual navigation;  visual sensor;  weak supervision; rovers;  semantic segmentation; benchmarking;  image processing;  robotics;  semantics; benchmarking;  image processing; computer-assisted;  neural networks; computer;  robotics;  semantics
"ABBAS HK, 2021, ",Feature extraction in six blocks to detect and recognize english numbers,Abbas Hk;Mohamad Hj,IRAQI JOURNAL OF SCIENCE,00672904,62,10,3790-3803,2021,UNIVERSITY OF BAGHDAD-COLLEGE OF SCIENCE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118765644&doi=10.24996%2fijs.2021.62.10.37&partnerID=40&md5=42d249dbbf0a08d5a0085fb2f3f9fedf,"The fuzzy logic method was implemented to detect and recognize english numbers in this paper. The extracted features within this method make the detection easy and accurate. These features depend on the crossing point of two vertical lines with one horizontal line to be used from the fuzzy logic method, as shown by the matlab code in this study. The font types are times new roman, arial, calabria, arabic, and andalus with different font sizes of 10, 16, 22, 28, 36, 42, 50 and 72. These numbers are isolated automatically with the designed algorithm, for which the code is also presented. The number's image is tested with the fuzzy algorithm depending on six-block properties only. Groups of regions (high, medium, and low) for each number showed unique behavior to recognize any number. Normalized absolute error (nae) equation was used to evaluate the error percentage for the suggested algorithm. The lowest error was 0.001% compared with the real number. The data were checked by the support vector machine (svm) algorithm to confirm the quality and the efficiency of the suggested method, where the matching was found to be 100% between the data of the suggested method and svm. The six properties offer a new method to build a rule-based feature extraction technique in different applications and detect any text recognition with a low computational cost. © 2021 university of baghdad-college of science. All rights reserved.",ENGLISH,10.24996/ijs.2021.62.10.37,NA
"GAO J, 2021, ",Tfe: a transformer architecture for occlusion aware facial expression recognition,Gao J;Zhao Y,FRONTIERS IN NEUROROBOTICS,16625218,15,NA,NA,2021,FRONTIERS MEDIA S.A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118938932&doi=10.3389%2ffnbot.2021.763100&partnerID=40&md5=4202b08d19cc4cfc66718f063af4050b,"Facial expression recognition (fer) in uncontrolled environment is challenging due to various un-constrained conditions. Although existing deep learning-based fer approaches have been quite promising in recognizing frontal faces, they still struggle to accurately identify the facial expressions on the faces that are partly occluded in unconstrained scenarios. To mitigate this issue, we propose a transformer-based fer method (tfe) that is capable of adaptatively focusing on the most important and unoccluded facial regions. Tfe is based on the multi-head self-attention mechanism that can flexibly attend to a sequence of image patches to encode the critical cues for fer. Compared with traditional transformer, the novelty of tfe is two-fold: (i) to effectively select the discriminative facial regions, we integrate all the attention weights in various transformer layers into an attention map to guide the network to perceive the important facial regions. (Ii) given an input occluded facial image, we use a decoder to reconstruct the corresponding non-occluded face. Thus, tfe is capable of inferring the occluded regions to better recognize the facial expressions. We evaluate the proposed tfe on the two prevalent in-the-wild facial expression datasets (affectnet and raf-db) and the their modifications with artificial occlusions. Experimental results show that tfe improves the recognition accuracy on both the non-occluded faces and occluded faces. Compared with other state-of-the-art fe methods, tfe obtains consistent improvements. Visualization results show tfe is capable of automatically focusing on the discriminative and non-occluded facial regions for robust fer. Copyright © 2021 gao and zhao.",ENGLISH,10.3389/fnbot.2021.763100,deep learning; affective computing;  constrained conditions;  deep learning;  facial expression recognition;  facial expressions;  facial regions;  frontal faces;  occlusion;  recognition methods;  transformer; face recognition; anger;  article;  controlled study;  disgust;  facial expression;  facial recognition;  fear;  happiness;  image reconstruction;  intermethod comparison;  machine learning;  measurement accuracy;  sadness;  transformer based facial expression recognition method
"WANI D, 2021, ",Image super-resolution for arthropod identification,Wani D;Maul T,ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,NA,NA,NA,317-324,2021,ASSOCIATION FOR COMPUTING MACHINERY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122024187&doi=10.1145%2f3494885.3494943&partnerID=40&md5=7b7bc0ed49271d86a3b641d88e07066c,"Super-resolution techniques have recently made great strides, especially in the context of deep learning. In spite of this, not much research has been conducted on the explicit application of these techniques to biodiversity related problems such as species identification. We took a state-of-the-art super-resolution model (enhanced deep super-resolution network, i.e. Edsr), and enhanced it further with perceptual and texture losses, and a test-time-augmentation solution. Furthermore, we designed a qualitative assessment framework and studied its relationship with automated performance metrics. Our results show that our proposed modifications to edsr improve the recovery of details, and that current automated metrics (e.g. Peak signal-to-noise ratio) are inadequate in the context of super-resolution for species identification. © 2021 acm.",ENGLISH,10.1145/3494885.3494943,biodiversity;  deep neural networks;  optical resolving power;  signal to noise ratio;  textures; as species;  deep learning;  image super resolutions;  neural-networks;  resolution techniques;  species identification;  state of the art;  super-resolution models;  superresolution;  test time; computer vision
"KRUTHIVENTI S S S, 2021, ",Fingerspelling recognition in the wild with fixed-query based visual attention,Kruthiventi S S S;Jose G;Tandon N;Biswal R;Kumar A,MM 2021 - PROCEEDINGS OF THE 29TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA,NA,NA,NA,4362-4370,2021,"ASSOCIATION FOR COMPUTING MACHINERY, INC",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119384881&doi=10.1145%2f3474085.3475580&partnerID=40&md5=247d6a20c8def93c465d21cc05893cd1,"We propose an end-to-end solution for recognizing fingerspelling using multi-scale attention with fixed-queries. Fingerspelling recognition in the wild gets challenging because of the multiple sub-problems involved - detecting the signing hand, tracking it across frames, and recognizing subtle variations in a hand gesture. While the current state-of-the-art handles these with external face/hand detectors, optical flow features, and iteratively refining the attention maps, our work proposes a deep learning model that takes in the rgb videos and recognizes fingerspelling with a single forward pass. Without any frame-level supervision, our proposed model learns to pay attention to informative regions in each frame, such as fingers, hand, and face, to recognize signs. Multi-scale features from these attended regions are then processed using a recurrent neural network to recognize the alphabet sequentially. We train our model using a curriculum learning strategy with simpler samples at the beginning, followed by challenging samples at a later stage. We have evaluated our approach on chicago fingerspelling wild and wildplus datasets and have achieved about 8% and 4% improvements, respectively, compared to the current state-of-the-art methods. Further analysis of our method shows that our attention mechanism is intuitive from a human perspective, and visualizing it offers useful insights into the working of the model. © 2021 acm.",ENGLISH,10.1145/3474085.3475580,behavioral research;  computer vision;  convolutional neural networks;  iterative methods; 'current;  convolutional neural network;  end-to-end solutions;  fingerspelling recognition;  hand gesture;  hand-tracking;  multi-scales;  state of the art;  sub-problems;  visual attention; recurrent neural networks
"LIU Z, 2021, ",Multi-initialization optimization network for accurate 3d human pose and shape estimation,Liu Z;Zhu X;Yang L;Yan X;Tang M;Lei Z;Zhu G;Feng X;Wang Y;Wang J,MM 2021 - PROCEEDINGS OF THE 29TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA,NA,NA,NA,1976-1984,2021,"ASSOCIATION FOR COMPUTING MACHINERY, INC",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119353234&doi=10.1145%2f3474085.3475355&partnerID=40&md5=2daf508d81587f55f6dc8d76b156cd79,"3d human pose and shape recovery from a monocular rgb image is a challenging task. Existing learning based methods highly depend on weak supervision signals, e.g. 2d and 3d joint location, due to the lack of in-the-wild paired 3d supervision. However, considering the 2d-to-3d ambiguities existed in these weak supervision labels, the network is easy to get stuck in local optima when trained with such labels. In this paper, we reduce the ambituity by optimizing multiple initializations. Specifically, we propose a three-stage framework named multi-initialization optimization network (mion). In the first stage, we strategically select different coarse 3d reconstruction candidates which are compatible with the 2d keypoints of input sample. Each coarse reconstruction can be regarded as an initialization leads to one optimization branch. In the second stage, we design a mesh refinement transformer (mrt) to respectively refine each coarse reconstruction result via a self-attention mechanism. Finally, a consistency estimation network (cen) is proposed to find the best result from mutiple candidates by evaluating if the visual evidence in rgb image matches a given 3d reconstruction. Experiments demonstrate that our multi-initialization optimization network outperforms existing 3d mesh based methods on multiple public benchmarks. © 2021 acm.",ENGLISH,10.1145/3474085.3475355,deep learning;  image reconstruction;  shape optimization; 3d human pose estimation;  3d human reconstruction;  3d pose estimation;  3d reconstruction;  deep learning;  human pose;  human shapes;  optimisations;  rgb images;  shape estimation; mesh generation
